Date,Open,High,Low,Close,Volume
2014-01-05,116.37,119.62,114.46,119.29,32975063
2014-01-12,119.76,120.43,117.11,120.26,35942801
2014-01-19,120.27,121.06,119.11,120.93,30732585
2014-01-26,119.29,122.5,119.17,122.29,31231165
2014-02-02,121.65,122.51,119.46,120.09,41684620
2014-02-09,120.47,122.24,120.32,122.17,34530453
2014-02-16,122.8,127.38,122.72,127.15,46492522
2014-02-23,127.42,128.07,126.16,127.58,34958231
2014-03-02,128.51,129.53,127.15,127.62,40613754
2014-03-09,129.99,130.59,128.21,129.09,35983079
2014-03-16,128.88,133.69,128.78,133.1,42530289
2014-03-23,132.73,133.22,127.58,128.47,48912847
2014-03-30,126.87,127.14,123.88,124.56,42795040
2014-04-06,124.52,125.96,123.11,125.57,34220971
2014-04-13,125.07,127.37,124.84,126.93,25922881
2014-04-20,127.77,128.25,124.57,124.75,26620556
2014-04-27,124.07,125.71,122.84,125.43,32993211
2014-05-04,125.34,125.67,123.06,125.06,37095650
2014-05-11,126.47,126.63,123.82,124.1,23969863
2014-05-18,125.4,125.96,124.29,124.5,20596203
2014-05-25,125.28,125.47,123.53,124.51,20185723
2014-06-01,122.98,123.07,119.62,120.43,31939923
2014-06-08,119.93,120.88,119.42,120.61,23783505
2014-06-15,120.79,123.04,120.57,122.96,21342046
2014-06-22,122.88,127.23,121.82,126.5,48792829
2014-06-29,126.65,127.55,126.2,126.66,27918644
2014-07-06,126.53,128.24,126.37,127.16,36943078
2014-07-13,126.63,129.21,126.23,128.78,29853485
2014-07-20,125.5,127.55,124.36,126.13,44006491
2014-07-27,126.53,126.55,123.9,125.79,23978629
2014-08-03,125.44,125.88,123.23,124.38,31398049
2014-08-10,124.36,126.51,123.4,126.19,37174959
2014-08-17,125.83,126.81,124.41,125.48,28166559
2014-08-24,124.78,125.08,122.45,123.19,26975884
2014-08-31,122.9,124.33,122.72,123.86,18465192
2014-09-07,121.97,122.66,121.25,122.06,24331910
2014-09-14,121.58,121.61,118.07,118.38,36424671
2014-09-21,118.79,119.43,116.72,117.09,35929083
2014-09-28,116.69,117.99,116.2,117.06,29606947
2014-10-05,117.27,117.4,114.42,114.61,38898852
2014-10-12,115.16,118.26,114.94,117.59,34858640
2014-10-19,118.14,120.18,117.93,118.99,34635859
2014-10-26,119.67,120.5,117.88,118.35,21374409
2014-11-02,118.18,118.48,111.66,112.66,39670628
2014-11-09,112.39,113.15,109.67,112.97,44519654
2014-11-16,112.22,114.72,110.28,114.47,41318685
2014-11-23,113.95,115.96,112.88,115.39,35187919
2014-11-30,115.15,115.47,111.95,112.11,26533895
2014-12-07,113.8,117.36,113.74,114.43,37721000
2014-12-14,114.97,118.99,114.46,117.41,29914386
2014-12-21,116.22,116.97,113.58,114.77,36965273
2014-12-28,114.81,114.98,112.41,114.83,20509804
2015-01-04,114.62,116.26,112.32,114.08,35677054
2015-01-11,114.78,117.5,114.73,117.26,40843458
2015-01-18,117.46,123.15,117.32,122.52,55846732
2015-01-25,123.63,125.58,123.35,124.23,42835022
2015-02-01,123.33,124.64,120.26,123.45,50566609
2015-02-08,121.84,123.16,117.95,118.64,42610192
2015-02-15,118.83,119.4,117,117.98,24553339
2015-02-22,116.4,116.54,114.99,115.28,28767732
2015-03-01,115.13,117.07,114.29,116.16,29722873
2015-03-08,116.5,116.64,111.7,111.86,34556800
2015-03-15,112.44,112.62,110.16,110.88,30293000
2015-03-22,111.08,114,109.77,113.57,39207600
2015-03-29,113.7,115.84,113.49,115.06,20657700
2015-04-05,113.88,115.99,113.41,115.28,19975114
2015-04-12,117.32,117.47,114.48,115.97,22589538
2015-04-19,115.35,115.79,114.39,115.6,17120076
2015-04-26,114.82,115.56,112.77,113.05,23557276
2015-05-03,113.87,116.62,112.28,113.08,39749461
2015-05-10,114.18,115.11,113.32,113.97,26202075
2015-05-17,114.09,117.75,113.08,117.53,29311543
2015-05-24,117.78,117.88,115.32,115.6,18859195
2015-05-31,113.84,114.48,113.21,114.1,17115266
