Date,Open,High,Low,Close,Volume
2014-01-05,151.043,151.741,149.911,150.255,418630966
2014-01-12,150.735,151.327,149.575,151.28,587973073
2014-01-19,150.916,151.939,148.971,150.857,649084220
2014-01-26,151.741,151.798,146.906,146.944,597367081
2014-02-02,147.088,147.729,145.308,146.359,998740716
2014-02-09,146.179,147.786,142.712,147.604,1079603892
2014-02-16,147.624,151.443,147.233,151.173,610099294
2014-02-23,151.309,151.949,150.026,151.06,523129695
2014-03-02,151.384,153.75,151.319,153.032,698563707
2014-03-09,151.741,155.243,150.944,154.658,758012382
2014-03-16,154.409,155.032,151.52,151.711,715388265
2014-03-23,152.464,155.951,152.391,153.634,798556237
2014-03-30,154.16,154.572,151.751,153.051,713971634
2014-04-06,154.027,156.543,153.079,153.797,623163088
2014-04-13,153.394,154.457,149.604,149.769,840618471
2014-04-20,150.934,154.227,149.71,153.797,605559280
2014-04-27,153.834,155.492,153.367,153.71,504599298
2014-05-04,154.352,156.046,152.611,155.185,620170106
2014-05-11,154.428,155.971,153.49,155.109,539251981
2014-05-18,155.731,157.119,153.873,155.175,579289463
2014-05-25,154.869,157.174,154.372,157.071,467895246
2014-06-01,157.645,159.08,157.559,158.974,338506960
2014-06-08,159.206,161.244,158.421,161.205,431326683
2014-06-15,161.185,161.762,159.319,160.21,459422110
2014-06-22,160.018,162.591,159.817,162.468,560735469
2014-06-29,162.498,162.916,160.927,162.372,488779811
2014-07-06,162.277,164.422,162.133,164.346,321188719
2014-07-13,164.028,164.171,161.722,163.014,489744465
2014-07-20,163.844,164.393,162.038,163.943,626475894
2014-07-27,163.398,165.004,162.851,163.951,403385913
2014-08-03,163.981,164.535,158.812,159.596,755517943
2014-08-10,159.932,161.089,157.98,160.229,713130871
2014-08-17,160.801,163.043,159.99,162.286,499796920
2014-08-24,163.148,165.636,163.063,165.128,423181005
2014-08-31,165.953,166.487,165.093,166.401,341432902
2014-09-07,166.623,167.13,165.322,166.736,382559611
2014-09-14,166.576,166.814,164.632,165.073,487460459
2014-09-21,165.101,168.19,164.485,167.176,674627459
2014-09-28,166.863,166.89,163.493,164.832,717622905
2014-10-05,163.426,165.167,160.229,163.695,819677420
